Hours,Score
1,46
2,51
3,58
4,61
5,67
6,72
7,74
8,80
9,86
10,92
11,95
12,100
13,104
14,110
15,113
16,120
17,124
18,130
19,134
20,139
21,145
22,149
23,153
24,158
25,163
26,168
27,172
28,177
29,182
30,187
31,192
32,197
33,202
34,208
35,212
36,217
37,222
38,227
39,231
40,237
41,243
42,247
43,252
44,257
45,262
46,267
47,272
48,278
49,283
50,289
51,293
52,298
53,303
54,308
55,314
56,319
57,324
58,329
59,334
60,340
61,345
62,350
63,355
64,361
65,366
66,371
67,376
68,382
69,387
70,392
71,398
72,403
73,408
74,413
75,419
76,424
77,429
78,435
79,440
80,445
81,451
82,456
83,461
84,466
85,472
86,477
87,482
88,487
89,493
90,498
91,503
92,508
93,514
94,519
95,524
96,530
97,535
98,540
99,545
100,550
